,filename,ndc9,ndc11,color,shape
0,data/dr/00002-3228-30_PART_1_OF_1_CHAL10_SB_391E1C80.jpg,000023228,00002322830,WHITE,CAPSULE
1,data/dr/00002-3228-30_PART_1_OF_1_CHAL10_SF_391E1C80.jpg,000023228,00002322830,WHITE,CAPSULE
2,data/dr/00002-3229-30_PART_1_OF_1_CHAL10_SB_3E1E1F50.jpg,000023229,00002322930,BLUE,CAPSULE
3,data/dr/00002-3229-30_PART_1_OF_1_CHAL10_SF_3E1E1F50.jpg,000023229,00002322930,BLUE,CAPSULE
4,data/dr/00002-3238-30_PART_1_OF_1_CHAL10_SB_361E1B30.jpg,000023238,00002323830,WHITE,CAPSULE
5,data/dr/00002-3238-30_PART_1_OF_1_CHAL10_SF_361E1B30.jpg,000023238,00002323830,WHITE,CAPSULE
6,data/dr/00002-3239-30_PART_1_OF_1_CHAL10_SB_3F1E1F80.jpg,000023239,00002323930,BLUE,CAPSULE
7,data/dr/00002-3239-30_PART_1_OF_1_CHAL10_SF_3F1E1F80.jpg,000023239,00002323930,BLUE,CAPSULE
8,data/dr/00002-3250-30_PART_1_OF_1_CHAL10_SB_431E21C1.jpg,000023250,00002325030,WHITE,CAPSULE
9,data/dr/00002-3250-30_PART_1_OF_1_CHAL10_SF_431E21C1.jpg,000023250,00002325030,WHITE,CAPSULE
10,data/dr/00002-3251-30_PART_1_OF_1_CHAL10_SB_451E2281.jpg,000023251,00002325130,BROWN,CAPSULE
11,data/dr/00002-3251-30_PART_1_OF_1_CHAL10_SF_451E2281.jpg,000023251,00002325130,BROWN,CAPSULE
12,data/dr/00002-4463-30_PART_1_OF_1_CHAL10_SB_B5155ACA.jpg,000024463,00002446330,YELLOW,TEAR
13,data/dr/00002-4463-30_PART_1_OF_1_CHAL10_SF_B5155ACA.jpg,000024463,00002446330,YELLOW,TEAR
14,data/dr/00002-4464-30_PART_1_OF_1_CHAL10_SB_B8155C1A.jpg,000024464,00002446430,YELLOW,TEAR
15,data/dr/00002-4464-30_PART_1_OF_1_CHAL10_SF_B8155C1A.jpg,000024464,00002446430,YELLOW,TEAR
16,data/dr/00003-4222-16_PART_1_OF_1_CHAL10_SB_F215F93F.jpg,000034222,00003422216,YELLOW,OVAL
17,data/dr/00003-4222-16_PART_1_OF_1_CHAL10_SF_F215F93F.jpg,000034222,00003422216,YELLOW,OVAL
18,data/dr/00004-0800-85_PART_1_OF_1_CHAL10_SB_491E24C1.jpg,000040800,00004080085,GRAY,CAPSULE
19,data/dr/00004-0800-85_PART_1_OF_1_CHAL10_SF_491E24C1.jpg,000040800,00004080085,GRAY,CAPSULE
20,data/dr/00006-0112-54_PART_1_OF_1_CHAL10_SB_131609E0.jpg,000060112,00006011254,BROWN,ROUND
21,data/dr/00006-0112-54_PART_1_OF_1_CHAL10_SF_131609E0.jpg,000060112,00006011254,BROWN,ROUND
22,data/dr/00006-0277-54_PART_1_OF_1_CHAL10_SB_16160B30.jpg,000060277,00006027754,BROWN,ROUND
23,data/dr/00006-0277-54_PART_1_OF_1_CHAL10_SF_16160B30.jpg,000060277,00006027754,BROWN,ROUND
24,data/dr/00006-0749-54_PART_1_OF_1_CHAL10_SB_821DC16E.jpg,000060749,00006074954,RED,OVAL
25,data/dr/00006-0749-54_PART_1_OF_1_CHAL10_SF_821DC16E.jpg,000060749,00006074954,RED,OVAL
26,data/dr/00007-4471-20_PART_1_OF_1_CHAL10_SB_7618BB55.jpg,000074471,00007447120,RED,ROUND
27,data/dr/00007-4471-20_PART_1_OF_1_CHAL10_SF_7618BB55.jpg,000074471,00007447120,RED,ROUND
28,data/dr/00007-4642-13_PART_1_OF_1_CHAL10_SB_8C18C666.jpg,000074642,00007464213,RED,ROUND
29,data/dr/00007-4642-13_PART_1_OF_1_CHAL10_SF_8C18C666.jpg,000074642,00007464213,RED,ROUND
30,data/dr/00007-4882-13_PART_1_OF_1_CHAL10_SB_E118F097.jpg,000074882,00007488213,GREEN,OVAL
31,data/dr/00007-4882-13_PART_1_OF_1_CHAL10_SF_E118F097.jpg,000074882,00007488213,GREEN,OVAL
32,data/dr/00007-4891-20_PART_1_OF_1_CHAL10_SB_CD18E6D7.jpg,000074891,00007489120,YELLOW,PENTAGON
33,data/dr/00007-4891-20_PART_1_OF_1_CHAL10_SF_CD18E6D7.jpg,000074891,00007489120,YELLOW,PENTAGON
34,data/dr/00007-4892-20_PART_1_OF_1_CHAL10_SB_BE18DF56.jpg,000074892,00007489220,GREEN,PENTAGON
35,data/dr/00007-4892-20_PART_1_OF_1_CHAL10_SF_BE18DF56.jpg,000074892,00007489220,GREEN,PENTAGON
36,data/dr/00007-4893-20_PART_1_OF_1_CHAL10_SB_D118E887.jpg,000074893,00007489320,PINK,PENTAGON
37,data/dr/00007-4893-20_PART_1_OF_1_CHAL10_SF_D118E887.jpg,000074893,00007489320,PINK,PENTAGON
38,data/dr/00007-4896-20_PART_1_OF_1_CHAL10_SB_D818EC47.jpg,000074896,00007489620,BROWN,PENTAGON
39,data/dr/00007-4896-20_PART_1_OF_1_CHAL10_SF_D818EC47.jpg,000074896,00007489620,BROWN,PENTAGON
40,data/dr/00009-0055-01_PART_1_OF_1_CHAL10_SB_CA1DE53F.jpg,000090055,00009005501,ORANGE,OVAL
41,data/dr/00009-0055-01_PART_1_OF_1_CHAL10_SF_CA1DE53F.jpg,000090055,00009005501,ORANGE,OVAL
42,data/dr/00009-7663-04_PART_1_OF_1_CHAL10_SB_FD12FEA7.jpg,000097663,00009766304,WHITE,ROUND
43,data/dr/00009-7663-04_PART_1_OF_1_CHAL10_SF_FD12FEA7.jpg,000097663,00009766304,WHITE,ROUND
44,data/dr/00013-5301-17_PART_1_OF_1_CHAL10_SB_691E34B1.jpg,000135301,00013530117,RED,CAPSULE
45,data/dr/00013-5301-17_PART_1_OF_1_CHAL10_SF_691E34B1.jpg,000135301,00013530117,RED,CAPSULE
46,data/dr/00023-9350-07_PART_1_OF_1_CHAL10_SB_D4196A7B.jpg,000239350,00023935007,ORANGE,CAPSULE
47,data/dr/00023-9350-07_PART_1_OF_1_CHAL10_SF_D4196A7B.jpg,000239350,00023935007,ORANGE,CAPSULE
48,data/dr/00029-3159-13_PART_1_OF_1_CHAL10_SB_E418F247.jpg,000293159,00029315913,ORANGE,PENTAGON
49,data/dr/00029-3159-13_PART_1_OF_1_CHAL10_SF_E418F247.jpg,000293159,00029315913,ORANGE,PENTAGON
50,data/dr/00037-2250-10_PART_1_OF_1_CHAL10_SB_BD1D5EFA.jpg,000372250,00037225010,WHITE,ROUND
51,data/dr/00037-2250-10_PART_1_OF_1_CHAL10_SF_BD1D5EFA.jpg,000372250,00037225010,WHITE,ROUND
52,data/dr/00049-4910-30_PART_1_OF_1_CHAL10_SB_881DC46E.jpg,000494910,00049491030,YELLOW,OVAL
53,data/dr/00049-4910-30_PART_1_OF_1_CHAL10_SF_881DC46E.jpg,000494910,00049491030,YELLOW,OVAL
54,data/dr/00054-0017-25_PART_1_OF_1_CHAL10_SB_F7217BFB.jpg,000540017,00054001725,WHITE,ROUND
55,data/dr/00054-0017-25_PART_1_OF_1_CHAL10_SF_F7217BFB.jpg,000540017,00054001725,WHITE,ROUND
56,data/dr/00054-0109-25_PART_1_OF_1_CHAL10_SB_00268004.jpg,000540109,00054010925,BLUE,CAPSULE
57,data/dr/00054-0109-25_PART_1_OF_1_CHAL10_SF_00268004.jpg,000540109,00054010925,BLUE,CAPSULE
58,data/dr/00054-0166-25_PART_1_OF_1_CHAL10_SB_6A1DB56D.jpg,000540166,00054016625,WHITE,OVAL
59,data/dr/00054-0166-25_PART_1_OF_1_CHAL10_SF_6A1DB56D.jpg,000540166,00054016625,WHITE,OVAL
60,data/dr/00054-2526-25_PART_1_OF_1_CHAL10_SB_961C4B22.jpg,000542526,00054252625,WHITE,CAPSULE
61,data/dr/00054-2526-25_PART_1_OF_1_CHAL10_SF_961C4B22.jpg,000542526,00054252625,WHITE,CAPSULE
62,data/dr/00054-4182-25_PART_1_OF_1_CHAL10_SB_77233BF9.jpg,000544182,00054418225,PINK,ROUND
63,data/dr/00054-4182-25_PART_1_OF_1_CHAL10_SF_77233BF9.jpg,000544182,00054418225,PINK,ROUND
64,data/dr/00054-4728-25_PART_1_OF_1_CHAL10_SB_8723C3EE.jpg,000544728,00054472825,WHITE,ROUND
65,data/dr/00054-4728-25_PART_1_OF_1_CHAL10_SF_8723C3EE.jpg,000544728,00054472825,WHITE,ROUND
66,data/dr/00056-0170-70_PART_1_OF_1_CHAL10_SB_95134AFA.jpg,000560170,00056017070,PURPLE,ROUND
67,data/dr/00056-0170-70_PART_1_OF_1_CHAL10_SF_95134AFA.jpg,000560170,00056017070,PURPLE,ROUND
68,data/dr/00056-0176-70_PART_1_OF_1_CHAL10_SB_99134CAA.jpg,000560176,00056017670,GREEN,ROUND
69,data/dr/00056-0176-70_PART_1_OF_1_CHAL10_SF_99134CAA.jpg,000560176,00056017670,GREEN,ROUND
70,data/dr/00056-0188-70_PART_1_OF_1_CHAL10_SB_9B134DFA.jpg,000560188,00056018870,BROWN,ROUND
71,data/dr/00056-0188-70_PART_1_OF_1_CHAL10_SF_9B134DFA.jpg,000560188,00056018870,BROWN,ROUND
72,data/dr/00062-2085-12_PART_1_OF_1_CHAL10_SB_06130328.jpg,000622085,00062208512,WHITE,ROUND
73,data/dr/00062-2085-12_PART_1_OF_1_CHAL10_SF_06130328.jpg,000622085,00062208512,WHITE,ROUND
74,data/dr/00069-1540-68_PART_1_OF_1_CHAL10_SB_BB1C5DE2.jpg,000691540,00069154068,WHITE,ROUND
75,data/dr/00069-1540-68_PART_1_OF_1_CHAL10_SF_BB1C5DE2.jpg,000691540,00069154068,WHITE,ROUND
76,data/dr/00069-2600-66_PART_1_OF_1_CHAL10_SB_3A211D78.jpg,000692600,00069260066,ORANGE,OVAL
77,data/dr/00069-2600-66_PART_1_OF_1_CHAL10_SF_3A211D78.jpg,000692600,00069260066,ORANGE,OVAL
78,data/dr/00069-4210-30_PART_1_OF_1_CHAL10_SB_641DB26D.jpg,000694210,00069421030,BLUE,DIAMOND
79,data/dr/00069-4210-30_PART_1_OF_1_CHAL10_SF_641DB26D.jpg,000694210,00069421030,BLUE,DIAMOND
80,data/dr/00071-0155-23_PART_1_OF_1_CHAL10_SB_711C38F1.jpg,000710155,00071015523,WHITE,OVAL
81,data/dr/00071-0155-23_PART_1_OF_1_CHAL10_SF_711C38F1.jpg,000710155,00071015523,WHITE,OVAL
82,data/dr/00071-0156-23_PART_1_OF_1_CHAL10_SB_741C3A41.jpg,000710156,00071015623,WHITE,OVAL
83,data/dr/00071-0156-23_PART_1_OF_1_CHAL10_SF_741C3A41.jpg,000710156,00071015623,WHITE,OVAL
84,data/dr/00071-0419-24_PART_1_OF_1_CHAL10_SB_361C9B04.jpg,000710419,00071041924,WHITE,ROUND
85,data/dr/00071-0419-24_PART_1_OF_1_CHAL10_SF_361C9B04.jpg,000710419,00071041924,WHITE,ROUND
86,data/dr/00071-1015-68_PART_1_OF_1_CHAL10_SB_5215A92D.jpg,000711015,00071101568,ORANGE,CAPSULE
87,data/dr/00071-1015-68_PART_1_OF_1_CHAL10_SF_5215A92D.jpg,000711015,00071101568,ORANGE,CAPSULE
88,data/dr/00071-1017-68_PART_1_OF_1_CHAL10_SB_5515AAAD.jpg,000711017,00071101768,ORANGE,CAPSULE
89,data/dr/00071-1017-68_PART_1_OF_1_CHAL10_SF_5515AAAD.jpg,000711017,00071101768,ORANGE,CAPSULE
90,data/dr/00074-1973-54_PART_1_OF_1_CHAL10_SB_BE1DDF0E.jpg,000741973,00074197354,WHITE,OVAL
91,data/dr/00074-1973-54_PART_1_OF_1_CHAL10_SF_BE1DDF0E.jpg,000741973,00074197354,WHITE,OVAL
92,data/dr/00074-3020-11_PART_1_OF_1_CHAL10_SB_E01D703B.jpg,000743020,00074302011,RED,OVAL
93,data/dr/00074-3020-11_PART_1_OF_1_CHAL10_SF_E01D703B.jpg,000743020,00074302011,RED,OVAL
94,data/dr/00074-3040-11_PART_1_OF_1_CHAL10_SB_DB1D6DFB.jpg,000743040,00074304011,WHITE,OVAL
95,data/dr/00074-3040-11_PART_1_OF_1_CHAL10_SF_DB1D6DFB.jpg,000743040,00074304011,WHITE,OVAL
96,data/dr/00074-3290-13_PART_1_OF_1_CHAL10_SB_EC1D766B.jpg,000743290,00074329013,RED,OVAL
97,data/dr/00074-3290-13_PART_1_OF_1_CHAL10_SF_EC1D766B.jpg,000743290,00074329013,RED,OVAL
98,data/dr/00074-5182-19_PART_1_OF_1_CHAL10_SB_AF1D57AA.jpg,000745182,00074518219,PURPLE,ROUND
99,data/dr/00074-5182-19_PART_1_OF_1_CHAL10_SF_AF1D57AA.jpg,000745182,00074518219,PURPLE,ROUND
100,data/dr/00074-6122-90_PART_1_OF_1_CHAL10_SB_051D829C.jpg,000746122,00074612290,YELLOW,OVAL
101,data/dr/00074-6122-90_PART_1_OF_1_CHAL10_SF_051D829C.jpg,000746122,00074612290,YELLOW,OVAL
102,data/dr/00074-6594-90_PART_1_OF_1_CHAL10_SB_AB1D55FA.jpg,000746594,00074659490,GREEN,ROUND
103,data/dr/00074-6594-90_PART_1_OF_1_CHAL10_SF_AB1D55FA.jpg,000746594,00074659490,GREEN,ROUND
104,data/dr/00074-7068-19_PART_1_OF_1_CHAL10_SB_A31D51AA.jpg,000747068,00074706819,BROWN,ROUND
105,data/dr/00074-7068-19_PART_1_OF_1_CHAL10_SF_A31D51AA.jpg,000747068,00074706819,BROWN,ROUND
106,data/dr/00074-7070-90_PART_1_OF_1_CHAL10_SB_991D4CFA.jpg,000747070,00074707090,PURPLE,ROUND
107,data/dr/00074-7070-90_PART_1_OF_1_CHAL10_SF_991D4CFA.jpg,000747070,00074707090,PURPLE,ROUND
108,data/dr/00074-7149-90_PART_1_OF_1_CHAL10_SB_931D49FA.jpg,000747149,00074714990,GREEN,ROUND
109,data/dr/00074-7149-90_PART_1_OF_1_CHAL10_SF_931D49FA.jpg,000747149,00074714990,GREEN,ROUND
110,data/dr/00074-9189-90_PART_1_OF_1_CHAL10_SB_DF1DEFBF.jpg,000749189,00074918990,BLUE,CAPSULE
111,data/dr/00074-9189-90_PART_1_OF_1_CHAL10_SF_DF1DEFBF.jpg,000749189,00074918990,BLUE,CAPSULE
112,data/dr/00074-9296-90_PART_1_OF_1_CHAL10_SB_A51D52FA.jpg,000749296,00074929690,PURPLE,ROUND
113,data/dr/00074-9296-90_PART_1_OF_1_CHAL10_SF_A51D52FA.jpg,000749296,00074929690,PURPLE,ROUND
114,data/dr/00075-7700-60_PART_1_OF_1_CHAL10_SB_E51C72E3.jpg,000757700,00075770060,WHITE,OVAL
115,data/dr/00075-7700-60_PART_1_OF_1_CHAL10_SF_E51C72E3.jpg,000757700,00075770060,WHITE,OVAL
116,data/dr/00078-0358-34_PART_1_OF_1_CHAL10_SB_EA15750B.jpg,000780358,00078035834,RED,TEAR
117,data/dr/00078-0358-34_PART_1_OF_1_CHAL10_SF_EA15750B.jpg,000780358,00078035834,RED,TEAR
118,data/dr/00078-0359-34_PART_1_OF_1_CHAL10_SB_EC15765B.jpg,000780359,00078035934,ORANGE,TEAR
119,data/dr/00078-0359-34_PART_1_OF_1_CHAL10_SF_EC15765B.jpg,000780359,00078035934,ORANGE,TEAR
120,data/dr/00078-0360-34_PART_1_OF_1_CHAL10_SB_F015780B.jpg,000780360,00078036034,BROWN,TEAR
121,data/dr/00078-0360-34_PART_1_OF_1_CHAL10_SF_F015780B.jpg,000780360,00078036034,BROWN,TEAR
122,data/dr/00078-0486-15_PART_1_OF_1_CHAL10_SB_E61D736B.jpg,000780486,00078048615,RED,OVAL
123,data/dr/00078-0486-15_PART_1_OF_1_CHAL10_SF_E61D736B.jpg,000780486,00078048615,RED,OVAL
124,data/dr/00078-0521-15_PART_1_OF_1_CHAL10_SB_E51D72AB.jpg,000780521,00078052115,WHITE,OVAL
125,data/dr/00078-0521-15_PART_1_OF_1_CHAL10_SF_E51D72AB.jpg,000780521,00078052115,WHITE,OVAL
126,data/dr/00078-0572-15_PART_1_OF_1_CHAL10_SB_381D9C4C.jpg,000780572,00078057215,RED,OVAL
127,data/dr/00078-0572-15_PART_1_OF_1_CHAL10_SF_381D9C4C.jpg,000780572,00078057215,RED,OVAL
128,data/dr/00078-0574-15_PART_1_OF_1_CHAL10_SB_3E1D9F4C.jpg,000780574,00078057415,BROWN,OVAL
129,data/dr/00078-0574-15_PART_1_OF_1_CHAL10_SF_3E1D9F4C.jpg,000780574,00078057415,BROWN,OVAL
130,data/dr/00085-1322-01_PART_1_OF_1_CHAL10_SB_CF07E78F.jpg,000851322,00085132201,BLUE,OVAL
131,data/dr/00085-1322-01_PART_1_OF_1_CHAL10_SF_CF07E78F.jpg,000851322,00085132201,BLUE,OVAL
132,data/dr/00093-0011-98_PART_1_OF_1_CHAL10_SB_2829944C.jpg,000930011,00093001198,YELLOW,OVAL
133,data/dr/00093-0011-98_PART_1_OF_1_CHAL10_SF_2829944C.jpg,000930011,00093001198,YELLOW,OVAL
134,data/dr/00093-0012-98_PART_1_OF_1_CHAL10_SB_4D29A6AD.jpg,000930012,00093001298,YELLOW,OVAL
135,data/dr/00093-0012-98_PART_1_OF_1_CHAL10_SF_4D29A6AD.jpg,000930012,00093001298,YELLOW,OVAL
136,data/dr/00093-0017-01_PART_1_OF_1_CHAL10_SB_6629B33D.jpg,000930017,00093001701,PINK,OVAL
137,data/dr/00093-0017-01_PART_1_OF_1_CHAL10_SF_6629B33D.jpg,000930017,00093001701,PINK,OVAL
138,data/dr/00093-0026-01_PART_1_OF_1_CHAL10_SB_5D29AEBD.jpg,000930026,00093002601,YELLOW,OVAL
139,data/dr/00093-0026-01_PART_1_OF_1_CHAL10_SF_5D29AEBD.jpg,000930026,00093002601,YELLOW,OVAL
140,data/dr/00093-0027-01_PART_1_OF_1_CHAL10_SB_1D298EAC.jpg,000930027,00093002701,WHITE,OVAL
141,data/dr/00093-0027-01_PART_1_OF_1_CHAL10_SF_1D298EAC.jpg,000930027,00093002701,WHITE,OVAL
142,data/dr/00093-0028-01_PART_1_OF_1_CHAL10_SB_6A29B54D.jpg,000930028,00093002801,PINK,OVAL
143,data/dr/00093-0028-01_PART_1_OF_1_CHAL10_SF_6A29B54D.jpg,000930028,00093002801,PINK,OVAL
144,data/dr/00093-0029-01_PART_1_OF_1_CHAL10_SB_18298C0C.jpg,000930029,00093002901,ORANGE,OVAL
145,data/dr/00093-0029-01_PART_1_OF_1_CHAL10_SF_18298C0C.jpg,000930029,00093002901,ORANGE,OVAL
146,data/dr/00093-0039-01_PART_1_OF_1_CHAL10_SB_4F29A7CD.jpg,000930039,00093003901,WHITE,DIAMOND
147,data/dr/00093-0039-01_PART_1_OF_1_CHAL10_SF_4F29A7CD.jpg,000930039,00093003901,WHITE,DIAMOND
148,data/dr/00093-0041-65_PART_1_OF_1_CHAL10_SB_F7297BBB.jpg,000930041,00093004165,WHITE,ROUND
